- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 533
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-12T01:34:05.211514+00:00
Finished (UTC): 2026-07-12T01:34:23.912122+00:00
Duration Seconds: 18.7006
Generated At (UTC): 2026-07-12T01:34:23.912257+00:00

SUMMARY COUNTS
- dropped: 14
- mapped: 5
- merged: 1
- skipped: 167

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 1
- enrich|mapped|enriched: 1
- row_filter|skipped|already_added: 147
- row_filter|skipped|past_release_date: 20
- tmdb_choice|mapped|title_first_match: 2
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 1
- [skipped] row_filter | title=spider man brand new day | key=9942543e-69c9-4d5d-8f73-c98ded62b380 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=spider man brand new day vos seances en francais du film | key=8ec9ac3b-12f3-4d2a-9fad-46544076a6e1 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=stitch head | key=7108e14d-ef12-4748-a295-91da2836456b | reason=already_added | tmdb=
- [skipped] row_filter | title=street fighter | key=7c005650-33ab-4c30-91e0-4f0f1c84d3be | reason=already_added | tmdb=
- [skipped] row_filter | title=supergirl | key=a0a6a168-c7e8-460a-9a69-44ee4be66760 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=superman 1978 | key=231e3973-3899-4c3f-aa8a-66fc83328a1d | reason=no_candidates | tmdb=
- [skipped] row_filter | title=superman 2 the richard donner cut | key=da6cb427-a8a4-43cf-b891-4cf03187c8b2 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=superman 2 the richard donner cut 1980 | key=cb9a462f-3d36-4561-bc20-a022c4ad842c | reason=no_candidates | tmdb=
- [skipped] row_filter | title=surprise screening | key=966a87c3-56ab-4da4-a806-b9f77b8884a7 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=tafiti across the desert | key=615b1e3c-03ca-4921-94e9-db4acb0881de | reason=already_added | tmdb=
- [skipped] row_filter | title=taxi driver | key=288f5e61-0855-4681-9669-81aba71af3f0 | reason=already_added | tmdb=
- [skipped] row_filter | title=the adventures of priscilla queen of the desert | key=debaf0ae-7ecf-44f8-85f1-554085f70443 | reason=already_added | tmdb=
- [skipped] row_filter | title=the angry birds movie 3 | key=f11c5463-994a-4bdb-a940-a6d67aa5d7f8 | reason=already_added | tmdb=
- [merged] dedupe | title=the cat in the hat | key=66ee2c84-2196-47ce-a47a-074933e17b43 | reason=deduped_into_tmdb | tmdb=1117898
- [mapped] enrich | title=The Cat in the Hat | key=66ee2c84-2196-47ce-a47a-074933e17b43 | reason=enriched | tmdb=1117898
- [mapped] tmdb_choice | title=the cat in the hat | key=66ee2c84-2196-47ce-a47a-074933e17b43 | reason=title_first_match | tmdb=1117898 x2
- [skipped] row_filter | title=the christophers | key=b96f0fc4-ce9e-41b2-b9fb-24f64662c137 | reason=already_added | tmdb=
- [skipped] row_filter | title=the dog stars | key=96c8a34f-e44d-4067-a79d-0f5ef2d418a2 | reason=already_added | tmdb=
- [skipped] row_filter | title=the fifth element | key=3bda2bd3-8ead-4c6f-8df3-c47493b7922c | reason=already_added | tmdb=
- [skipped] row_filter | title=the get out | key=339195da-39ab-4f18-a157-ef5a6dbb865c | reason=already_added | tmdb=
- [skipped] row_filter | title=the get out aka bear country | key=fbe90974-512c-4528-ae29-aafb3832a70a | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the great lillian hall | key=d4199ff2-6430-4f92-b4d4-239fa70a1d1a | reason=already_added | tmdb=
- [skipped] row_filter | title=the hunger games sunrise on the reaping | key=298f9b59-21df-4a3a-9891-e26e96c7b3aa | reason=already_added | tmdb=
- [skipped] row_filter | title=the invite | key=090ac76b-36c3-4bf4-a6d4-2353e1153426 | reason=already_added | tmdb= x4
- [skipped] row_filter | title=the magic faraway tree | key=5d660a95-3dbd-4360-a3dc-40a7aebe8745 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=the magical faraway tree | key=7da21ce7-f82d-4281-b2ac-6cce4e5a411a | reason=no_candidates | tmdb=
