- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 596
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-10T01:32:03.170803+00:00
Finished (UTC): 2026-08-10T01:32:18.846083+00:00
Duration Seconds: 15.6753
Generated At (UTC): 2026-08-10T01:32:18.846349+00:00

SUMMARY COUNTS
- dropped: 10
- mapped: 5
- merged: 1
- skipped: 136

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 1
- enrich|mapped|enriched: 1
- row_filter|skipped|already_added: 126
- row_filter|skipped|past_release_date: 10
- tmdb_choice|mapped|title_first_match: 2
- tmdb_search|dropped|no_candidates: 10
- write|mapped|marked_added: 1
UNRESOLVED / DROPPED ITEMS
- no_candidates | fast and the furious 25th anniversary | row_id=180d4165-250d-4804-8b23-74cb5a82a2c1
- past_release_date | 2planet quoter | row_id=350a0d73-3028-411d-a59d-6347be8cecc3
- no_candidates | t takes two to tango | row_id=500946c6-1a87-430c-8eb8-88ff643df6d3
- past_release_date | the magical faraway tree | row_id=566f9ecd-928c-45b6-8fc9-a86898f3332a
- past_release_date | planet final | row_id=62ead1b3-889a-43f2-b53d-cd340fa55f7c
- no_candidates | yoni kletzel ryan williams leave the goats al | row_id=720a2472-0296-41ed-a0e1-dcfc6480eb6a
- past_release_date | movieretro | row_id=790a202f-3d23-4d13-ab07-f6972aff0ee3
- past_release_date | planet semi final | row_id=85293827-cae8-4d2a-9429-7cd43f5777e5
- past_release_date | spider man brand new day vos seances en francais du film | row_id=89a9d819-21a1-464b-af04-7933ac3167a3
- no_candidates | in the hell of kabul 13 days 13 nights | row_id=8b63db9a-1903-4973-9765-0d3a0e077531
- no_candidates | movieretro | row_id=8f01ea54-c63b-4bc4-82c6-65d64385d090
- past_release_date | 2planet semi | row_id=b5d14548-584e-45ef-bc94-044b473510b0
- past_release_date | planetshoetime naama | row_id=b6088028-2246-44a7-a959-905eaa931865
- no_candidates | superman 2 the richard donner cut 1980 | row_id=cb9a462f-3d36-4561-bc20-a022c4ad842c
- past_release_date | 2 | row_id=cfde40e9-7c45-47c8-9362-dcd4e1b7df44
- no_candidates | movieretro | row_id=d0805a34-099d-4654-8262-28361c334efe
- no_candidates | seestarz | row_id=d1b5d2b2-eb95-4fa7-b82c-1a4a6cf6c0fc
- past_release_date | its family fing business il | row_id=d55f8836-41cf-41fc-acd6-654dd7d4d410
- no_candidates | the fast and the furious 25th anniversary | row_id=ecdbefc0-1bac-45f0-b7b9-b05d037ce79e
- no_candidates | investment generation | row_id=f7d29fbe-bb2f-46d8-bac7-2aef1d082aa7

WRITE/DEDUPE ACTIONS
- dedupeAllSoons(allSoons)
- dedupeFinalSoons(finalSoons)
- upsertUpdates(finalSoons) rows=1
- ensureMovieCodes(movieCodes) rows=73
- mark_added(allSoons) rows=1
- dedupeFinalSoons(finalSoons)

NOTES
- (none)
