- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 589
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-04T01:48:37.263263+00:00
Finished (UTC): 2026-08-04T02:00:24.430569+00:00
Duration Seconds: 707.1673
Generated At (UTC): 2026-08-04T02:00:24.430746+00:00

SUMMARY COUNTS
- dropped: 15
- mapped: 238
- merged: 226

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 226
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 10
- tmdb_choice|mapped|fallback_first_candidate: 21
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 184
- tmdb_choice|mapped|tmdb_fix_id_match: 5
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=ostrich | status=mapped | reason=title_first_match | rep_title=ostrich | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=954926 | path=title_first_match
- key=out of options | status=mapped | reason=title_first_match | rep_title=out of options | rows=4 | parsed_year=2026 | candidates=1 | chosen_tmdb=1685073 | path=title_first_match
- key=madly | status=mapped | reason=title_first_match | rep_title=madly | rows=2 | parsed_year=2025 | candidates=20 | chosen_tmdb=1500272 | path=title_first_match
- key=addicts | status=mapped | reason=fallback_first_candidate | rep_title=addicts | rows=3 | parsed_year= | candidates=20 | chosen_tmdb=1459745 | path=fallback_first_candidate
- key=husbands | status=mapped | reason=title_first_match | rep_title=husbands | rows=3 | parsed_year=1970 | candidates=20 | chosen_tmdb=52105 | path=title_first_match
- key=o brother where art thou | status=mapped | reason=title_first_match | rep_title=o brother where art thou | rows=2 | parsed_year=2000 | candidates=1 | chosen_tmdb=134 | path=title_first_match
- key=johnny | status=mapped | reason=fallback_first_candidate | rep_title=johnny | rows=3 | parsed_year= | candidates=20 | chosen_tmdb=9486 | path=fallback_first_candidate
- key=spy kids | status=mapped | reason=title_first_match | rep_title=spy kids | rows=1 | parsed_year=2001 | candidates=7 | chosen_tmdb=10054 | path=title_first_match
- key=pact | status=mapped | reason=title_first_match | rep_title=the pact | rows=1 | parsed_year=2026 | candidates=20 | chosen_tmdb=1622462 | path=title_first_match
- key=spacetime chronicles | status=mapped | reason=title_first_match | rep_title=spacetime chronicles | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1568905 | path=title_first_match
- key=2 cuori e 2 capanne | status=mapped | reason=fallback_first_candidate | rep_title=2 cuori e 2 capanne | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1397055 | path=fallback_first_candidate
- key=woman under the influence | status=mapped | reason=title_first_match | rep_title=a woman under the influence | rows=3 | parsed_year=1974 | candidates=4 | chosen_tmdb=29845 | path=title_first_match
- key=coyote vs acme | status=mapped | reason=title_first_match | rep_title=coyote vs acme | rows=2 | parsed_year=2026 | candidates=1 | chosen_tmdb=1204680 | path=title_first_match
