- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 461
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-02T01:26:12.120151+00:00
Finished (UTC): 2026-06-02T01:26:31.787229+00:00
Duration Seconds: 19.6671
Generated At (UTC): 2026-06-02T01:26:31.788659+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 11
- merged: 3
- skipped: 142

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 3
- enrich|mapped|enriched: 3
- row_filter|skipped|already_added: 79
- row_filter|skipped|past_release_date: 62
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_search|dropped|no_candidates: 12
- [skipped] row_filter | title=wonder | key=a718236b-d7f3-4cb4-b7c9-5ceedb012761 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=worldcup2026 | key=1b434712-2296-47ac-8b15-97982bc254d2 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=xxx return of xander cage | key=db62a25b-5444-4e55-9b29-80185c3e3b6b | reason=past_release_date | tmdb=
- [merged] dedupe | title=youthful grace | key=f3176d46-8a5f-4d8a-98d8-9718435c76de | reason=deduped_into_tmdb | tmdb=1319168
- [mapped] enrich | title=Youthful Grace | key=f3176d46-8a5f-4d8a-98d8-9718435c76de | reason=enriched | tmdb=1319168
- [mapped] tmdb_choice | title=youthful grace | key=f3176d46-8a5f-4d8a-98d8-9718435c76de | reason=director_match | tmdb=1319168 x2

NOW PLAYING GROUP DETAILS
- (none)

UNRESOLVED / DROPPED ITEMS
- past_release_date | iron maiden burning ambition | row_id=017fcfed-ef37-42f4-97a8-acf6b518793d
- past_release_date | the bad boy and me 2 | row_id=0865e6b8-6cd0-4045-8a1b-968ac891acb1
- past_release_date | the devil wears prada 2 | row_id=0acaabbd-1ed4-4d29-abaf-a95876bb20f1
- no_candidates | planet eng cro | row_id=0ae7a89b-1138-480b-abe5-b6532fd9e43d
- past_release_date | eden | row_id=0cab406a-447c-4fec-b649-0af6fd101d42
- past_release_date | top gun maverick | row_id=0ea03664-28fe-4468-86a8-6fbf759ccce7
- past_release_date | top gun | row_id=11460e72-8219-4536-a780-b0ea912c4175
- past_release_date | 40 | row_id=171b0a72-4314-496f-95e5-c7c8ab2a3eaf
- past_release_date | top gun maverick | row_id=178e4b2e-bf1a-4101-a859-6faaa8036d29
- no_candidates | worldcup2026 | row_id=1b434712-2296-47ac-8b15-97982bc254d2
- past_release_date | four love letters | row_id=1bb00fc8-fbb3-4af4-a3ba-b398aa5c1e67
- no_candidates | movieretro | row_id=2223e8d1-b4b7-4a62-a2c3-e39038e1ba7d
- past_release_date | top gun | row_id=2835b62b-e028-4858-a943-8d8f679fab32
- past_release_date | star wars the mandalorian and grogu | row_id=2c102164-643f-4e4b-afa4-eb3c37ecd1d0
- past_release_date | billie eilish 3d live tour hit me hard | row_id=2d856f86-0484-4d94-b126-c2a037156a3c
- past_release_date | billie eilish hit me hard and soft the tour liv | row_id=2ec4a2c4-a334-47a1-8a51-06ee7b05a14b
- past_release_date | mother mary | row_id=33764e47-1cb9-460b-ac03-d2fb9197b363
- past_release_date | stolen girl | row_id=349605ed-b25f-4075-a362-b85918f6f64a
- past_release_date | billie eilish hit me hard and soft the tour 3d | row_id=41bc27fb-ffd4-4061-91c3-fbf51502b4f4
- past_release_date | tel aviv beirut | row_id=42d6e769-3ff7-4057-bcdf-195e6451c33a
- no_candidates | 2planet quoter | row_id=44bbb86b-f90f-4525-8489-1b29317bc42c
- past_release_date | passenger | row_id=45af6a53-fad3-47bf-a7b3-7ebfa3a29f01
- past_release_date | my friend eva | row_id=51232ca8-7ed8-42b3-8a1d-3873c50d54b2
- no_candidates | movieretro | row_id=5316545c-a8a1-406b-9a9c-cf320c6775af
- past_release_date | the sheep detectives | row_id=556cade4-f67a-4dfe-90cb-d726914c3657
- past_release_date | kidnapped aka rapito | row_id=5961cfdc-0071-442a-9112-9382c71455bd
- past_release_date | the whale | row_id=5a4a09b7-3299-4a9b-abc2-06efeabd5dc7
- past_release_date | mortal kombat ii | row_id=5dd2ffde-9777-43b1-b8a2-9a8e8eaeee63
- no_candidates | planet nor fra | row_id=5f29dc25-f6c7-45bd-ac33-8945926889e7
- past_release_date | top gun double feature | row_id=600cee7a-5533-449e-971c-f2f257579fec
- past_release_date | in the grey | row_id=63d0e1e2-6f64-4577-a983-bdc8468c3241
- past_release_date | the choral | row_id=6a49c58f-9ac2-4c62-9e60-ca458e7237d3
- past_release_date | la femme nikita | row_id=72f64445-5082-4068-9f4c-2131287f3b57
- past_release_date | star wars the mandalorian and grogu | row_id=77810d5c-2916-430b-9497-cf08550e54be
- past_release_date | adhd | row_id=780d28ff-6bca-4491-84af-763bb50d3642
- past_release_date | billie eilish hit me hard and soft the tour live in 3d | row_id=7aa30df2-1758-43d6-8971-8843e798bf35
- past_release_date | just an illusion | row_id=7c6cbbeb-0020-47a2-8299-4781f967eb78
- past_release_date | fantasy life | row_id=7cd134b8-825c-41b1-a927-b4d3d11e1334
- past_release_date | the sheep detectives | row_id=857fcf5b-63b3-47bf-9cbb-f933d38d85b7
- past_release_date | grease | row_id=860aac4e-35e6-45c7-8873-0127162d2612
- past_release_date | the mood board | row_id=8c45518a-b8d1-4f30-b2a0-db234e097186
- past_release_date | classic | row_id=8c7d722e-5d21-44cb-a5fd-cb6f659d1db3
- no_candidates | its family fing business il | row_id=913d0e8f-d473-4c82-8196-70b58cdea916
- past_release_date | bear clow camp | row_id=9525a0a7-9fbd-49ff-b112-10826c254f74
- past_release_date | the mandalorian grogu | row_id=981e45b9-2cb6-44e5-84d0-2999597d6208
- past_release_date | the choral | row_id=9ad0e651-3668-49e4-8542-8668bc682428
- no_candidates | planet semi final | row_id=9b6551f8-4be9-4a4e-9a05-cd259e5b53c2
- past_release_date | seestarz | row_id=b2ddf12c-bebe-4483-aa46-91e5adb21299
- past_release_date | top gun | row_id=b3007a09-1a6a-46f9-b89c-1764308f03f4
- past_release_date | top gun 1986 | row_id=b6cf08b1-7223-4d35-9221-6e9dc542e7e8
- past_release_date | shell | row_id=b833678c-f2bd-4346-a65b-ab4b3c87d99e
- past_release_date | night of the hunted | row_id=bc190853-ec48-4457-9f1a-1a45104fc97a
- past_release_date | four letters of love | row_id=bfd53e38-80cb-40ab-8d91-5bf9110cd1a2
- past_release_date | late shift | row_id=c0512c78-d581-4143-80fd-1d663bc42581
