- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:27:34.272481+00:00
Finished (UTC): 2026-09-04T11:29:12.292232+00:00
Duration Seconds: 98.0198
Generated At (UTC): 2026-09-04T11:29:12.292311+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 70
- merged: 22
- skipped: 143

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 22
- enrich|mapped|enriched: 22
- row_filter|skipped|already_added: 134
- row_filter|skipped|past_release_date: 7
- row_filter|skipped|skip_token: 2
- tmdb_choice|mapped|fallback_first_candidate: 18
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 22
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

- [merged] dedupe | title=sheep in the box | key=73254841-5e5b-4cde-8e75-819ad4675e07 | reason=deduped_into_tmdb | tmdb=1553969
- [mapped] enrich | title=Sheep in the Box | key=73254841-5e5b-4cde-8e75-819ad4675e07 | reason=enriched | tmdb=1553969
- [mapped] tmdb_choice | title=sheep in the box | key=73254841-5e5b-4cde-8e75-819ad4675e07 | reason=title_first_match | tmdb=1553969 x2
- [skipped] row_filter | title=shrek 5 | key=ee7e6c62-8286-47a8-88c8-a33503b04e80 | reason=already_added | tmdb=
- [skipped] row_filter | title=sonic the hedgehog 4 | key=cf283cab-4b57-4d1e-ac30-01d5dec94b2b | reason=already_added | tmdb=
- [skipped] row_filter | title=spa weekend | key=4e0ae554-52d9-4b08-b7f5-40aab0978991 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=spider island | key=916fcd23-2527-40cb-a416-4dc7c83bd9c5 | reason=already_added | tmdb=
- [skipped] row_filter | title=spinned | key=c935b31f-b645-4631-9180-b713314f90d3 | reason=already_added | tmdb=
- [skipped] row_filter | title=stitch head | key=7108e14d-ef12-4748-a295-91da2836456b | reason=already_added | tmdb=
- [skipped] row_filter | title=street fighter | key=7c005650-33ab-4c30-91e0-4f0f1c84d3be | reason=already_added | tmdb=
- [skipped] row_filter | title=sunny dancer | key=59c9f775-29db-496c-b374-a54365036ca1 | reason=already_added | tmdb=
- [skipped] row_filter | title=Superman - 1978 | key=917ac118-a1bb-4b22-9d25-cd9cd3ea0497 | reason=already_added | tmdb=
- [skipped] row_filter | title=superman 2 the richard donner cut | key=da6cb427-a8a4-43cf-b891-4cf03187c8b2 | reason=already_added | tmdb=
- [skipped] row_filter | title=superman 2 the richard donner cut 1980 | key=cb9a462f-3d36-4561-bc20-a022c4ad842c | reason=past_release_date | tmdb=
- [skipped] row_filter | title=sweetheart | key=b4bce0f3-6a27-4c0c-ac27-0747db12d97f | reason=already_added | tmdb=
- [skipped] row_filter | title=tad and the magic lamp | key=3739483d-8dd1-4cfd-9709-c50800e65af4 | reason=already_added | tmdb=
- [skipped] row_filter | title=taxi driver | key=288f5e61-0855-4681-9669-81aba71af3f0 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=tell me everything | key=9879c85f-f2a0-4d01-9d2d-b8c401bc6b5d | reason=already_added | tmdb=
- [skipped] row_filter | title=the angry birds movie 3 | key=f11c5463-994a-4bdb-a940-a6d67aa5d7f8 | reason=already_added | tmdb=
- [merged] dedupe | title=the bay | key=d32cf466-7894-4352-90ac-d40ee0c17f15 | reason=deduped_into_tmdb | tmdb=1430698
- [mapped] enrich | title=The Bay | key=d32cf466-7894-4352-90ac-d40ee0c17f15 | reason=enriched | tmdb=1430698
- [mapped] tmdb_choice | title=the bay | key=d32cf466-7894-4352-90ac-d40ee0c17f15 | reason=fallback_first_candidate | tmdb=1430698 x2
- [skipped] row_filter | title=the bluey movie | key=ae4ad0ae-2ee9-4c7f-b7e7-e24f0c43e0ae | reason=already_added | tmdb=
- [merged] dedupe | title=the cat in the hat | key=8559e5f9-f7b4-4aed-8f7c-22e9044bab7c | reason=deduped_into_tmdb | tmdb=1117898
- [mapped] enrich | title=The Cat in the Hat | key=8559e5f9-f7b4-4aed-8f7c-22e9044bab7c | reason=enriched | tmdb=1117898
- [mapped] tmdb_choice | title=the cat in the hat | key=8559e5f9-f7b4-4aed-8f7c-22e9044bab7c | reason=title_first_match | tmdb=1117898 x2
- [merged] dedupe | title=the christophers | key=75c6fb4c-0d90-413f-9479-f920fedcc31a | reason=deduped_into_tmdb | tmdb=1400357
- [mapped] enrich | title=The Christophers | key=75c6fb4c-0d90-413f-9479-f920fedcc31a | reason=enriched | tmdb=1400357
