- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 453
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T15:52:05.607715+00:00
Finished (UTC): 2026-05-26T15:59:11.762439+00:00
Duration Seconds: 426.1547
Generated At (UTC): 2026-05-26T15:59:11.762659+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 101
- merged: 80

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 80
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 61
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=ya pas de reseau | status=mapped | reason=fallback_first_candidate | rep_title=ya pas de reseau | rows=21 | parsed_year= | candidates=1 | chosen_tmdb=1284787 | path=fallback_first_candidate
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=11 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=tel aviv beirut | status=mapped | reason=fallback_first_candidate | rep_title=tel aviv beirut | rows=94 | parsed_year=2026 | candidates=1 | chosen_tmdb=1030210 | path=fallback_first_candidate
- key=kidnapped aka rapito | status=dropped | reason=no_candidates | rep_title=kidnapped aka rapito | rows=55 | parsed_year=2023 | candidates=0 | chosen_tmdb= | path=
- key=june and john | status=mapped | reason=title_first_match | rep_title=june and john | rows=23 | parsed_year=2025 | candidates=2 | chosen_tmdb=1216571 | path=title_first_match
- key=zootopia 2 | status=mapped | reason=title_first_match | rep_title=zootopia 2 | rows=11 | parsed_year=2025 | candidates=1 | chosen_tmdb=1084242 | path=title_first_match
- key=lillian | status=mapped | reason=title_first_match | rep_title=lillian | rows=4 | parsed_year=2019 | candidates=20 | chosen_tmdb=597095 | path=title_first_match
- key=madly | status=mapped | reason=title_first_match | rep_title=madly | rows=2 | parsed_year=2025 | candidates=20 | chosen_tmdb=1500272 | path=title_first_match
- key=jungle beat 2 the past | status=mapped | reason=title_first_match | rep_title=jungle beat 2 the past | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1453180 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=5 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
