- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 614
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-27T01:40:05.088984+00:00
Finished (UTC): 2026-08-27T01:40:46.973991+00:00
Duration Seconds: 41.885
Generated At (UTC): 2026-08-27T01:40:46.974218+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 23
- merged: 7
- skipped: 138

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 7
- enrich|mapped|enriched: 7
- row_filter|skipped|already_added: 130
- row_filter|skipped|past_release_date: 8
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_choice|mapped|title_first_match: 12
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- [skipped] row_filter | title=the money maker | key=714a0ccb-b303-41b4-a9ca-73f4a820fbc1 | reason=already_added | tmdb=
- [skipped] row_filter | title=the mongoose | key=0a108a20-8164-420d-b61e-5cc8eea914ad | reason=already_added | tmdb=
- [skipped] row_filter | title=The Odyssey | key=78d27242-59b6-4029-8aa8-ff36789f19b7 | reason=already_added | tmdb=
- [skipped] row_filter | title=the pout pout fish | key=edec078f-b211-440d-9414-268c46206844 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=the secret world of arrietty 4k imax | key=baa06aaa-5efa-4eda-8948-ee712f8c94bb | reason=no_candidates | tmdb=
- [skipped] row_filter | title=the social reckoning | key=d71b2f0d-697a-476e-92ba-9b3952ef0a03 | reason=already_added | tmdb=
- [skipped] row_filter | title=the thomas crown affair | key=a6b61864-ce4b-458e-bc7c-45e5526e573e | reason=already_added | tmdb=
- [skipped] row_filter | title=turbo | key=33a6f017-e0a3-451c-9f6b-f2995e0c3adc | reason=already_added | tmdb=
- [skipped] row_filter | title=valley of shadows | key=1e5a37aa-5dfb-4fd8-b7f2-653d994e9643 | reason=already_added | tmdb=
- [skipped] row_filter | title=verity | key=db78f59b-6e49-4084-961b-e4ee4fa909b3 | reason=already_added | tmdb=
- [skipped] row_filter | title=violent night 2 | key=0e62564a-77e5-428a-bfe7-70618957e639 | reason=already_added | tmdb=
- [skipped] row_filter | title=waves | key=3d6d3f36-3ace-4aa5-b7e3-65a7259020ff | reason=already_added | tmdb=
- [skipped] row_filter | title=werwulf | key=43fb9a40-a451-44a0-b50b-276598cd3a80 | reason=already_added | tmdb=
- [skipped] row_filter | title=whalefall | key=67689e20-2482-4873-bb02-cf70b47f0603 | reason=already_added | tmdb=
- [skipped] row_filter | title=wham 10 days in china | key=7868e35d-2169-4fee-a2cb-ccca1629b6b0 | reason=already_added | tmdb=
- [skipped] row_filter | title=what is love | key=959970f1-37d4-4585-bac8-2b39178b6cda | reason=already_added | tmdb=
- [dropped] tmdb_search | title=what marial knows | key=f313ac5d-830b-4039-a5d4-a95e3df217b4 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=what marielle knows | key=e6aebe97-e4b0-455f-a519-a3daead3f03d | reason=already_added | tmdb=
- [skipped] row_filter | title=where to | key=5802fde9-859f-4953-aec8-9c5939a310f6 | reason=already_added | tmdb=
- [skipped] row_filter | title=wild horse nine | key=8c87b8b7-9c2d-4bb2-9b27-03a6ae1eab7b | reason=already_added | tmdb=
- [skipped] row_filter | title=yoni kletzel ryan williams leave the goats al | key=1eba53b1-c86e-4dc7-89fa-b0f890c5165b | reason=past_release_date | tmdb=
- [merged] dedupe | title=young washington | key=990b1965-f0c0-4d4d-ba02-6510d0953968 | reason=deduped_into_tmdb | tmdb=1308767
- [mapped] enrich | title=Young Washington | key=990b1965-f0c0-4d4d-ba02-6510d0953968 | reason=enriched | tmdb=1308767
- [mapped] tmdb_choice | title=young washington | key=990b1965-f0c0-4d4d-ba02-6510d0953968 | reason=title_first_match | tmdb=1308767 x2

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- (none)

UNRESOLVED / DROPPED ITEMS
- past_release_date | yoni kletzel ryan williams leave the goats al | row_id=1eba53b1-c86e-4dc7-89fa-b0f890c5165b
- past_release_date | the magical faraway tree | row_id=566f9ecd-928c-45b6-8fc9-a86898f3332a
- no_candidates | investment generation | row_id=5e0b7e29-0b87-43c7-bc68-6183189a8393
- no_candidates | avengers end game encore | row_id=6f465b4e-816b-49dd-9112-b4419bd66b90
- no_candidates | in the hell of kabul 13 days 13 nights | row_id=7a79e88a-be55-4751-b625-6be2efb2c316
- past_release_date | spider man brand new day vos seances en francais du film | row_id=89a9d819-21a1-464b-af04-7933ac3167a3
- no_candidates | movieretro | row_id=8c99e408-36a5-4366-8ec4-4f273ae58cd0
- past_release_date | la la land 10th anniversary | row_id=9d73f035-0005-4a60-9df0-47dea7fd94f9
- past_release_date | planetshoetime naama | row_id=b6088028-2246-44a7-a959-905eaa931865
- no_candidates | the secret world of arrietty 4k imax | row_id=baa06aaa-5efa-4eda-8948-ee712f8c94bb
- no_candidates | movieretro | row_id=c389d31b-2a3a-409d-a6e1-8b559bd6f090
- past_release_date | superman 2 the richard donner cut 1980 | row_id=cb9a462f-3d36-4561-bc20-a022c4ad842c
- past_release_date | 2 | row_id=cfde40e9-7c45-47c8-9362-dcd4e1b7df44
- no_candidates | seestarz | row_id=d107cc99-8f41-4963-8bfa-15cec660dfac
- no_candidates | movieretro | row_id=d2a4a853-878c-4c87-9e04-68b71ab60908
- past_release_date | its family fing business il | row_id=d55f8836-41cf-41fc-acd6-654dd7d4d410
- no_candidates | what marial knows | row_id=f313ac5d-830b-4039-a5d4-a95e3df217b4
- no_candidates | the fast and the furious 25th anniversary | row_id=f47936f9-0e6d-4105-9e7d-dc22551d636f
- no_candidates | fast and the furious 25th anniversary | row_id=fe84f31d-adf9-4e78-8ec2-5c020a721525

WRITE/DEDUPE ACTIONS
- dedupeAllSoons(allSoons)
- dedupeFinalSoons(finalSoons)
- upsertUpdates(finalSoons) rows=7
- ensureMovieCodes(movieCodes) rows=78
- mark_added(allSoons) rows=7
- dedupeFinalSoons(finalSoons)

NOTES
- (none)
