- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 452
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T01:25:16.622502+00:00
Finished (UTC): 2026-05-26T01:32:38.526283+00:00
Duration Seconds: 441.9038
Generated At (UTC): 2026-05-26T01:32:38.526496+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 100
- merged: 81

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 81
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 7
- tmdb_choice|mapped|title_first_match: 59
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=mummy | status=merged | reason=deduped_into_tmdb | rep_title= | rows=3 | parsed_year= | candidates=0 | chosen_tmdb=1304313 | path=deduped_into_tmdb
- key=xxx return of xander cage | status=merged | reason=deduped_into_tmdb | rep_title= | rows=19 | parsed_year= | candidates=0 | chosen_tmdb=47971 | path=deduped_into_tmdb
- key=eden | status=merged | reason=deduped_into_tmdb | rep_title= | rows=76 | parsed_year= | candidates=0 | chosen_tmdb=1042834 | path=deduped_into_tmdb
- key=goat | status=merged | reason=deduped_into_tmdb | rep_title= | rows=59 | parsed_year= | candidates=0 | chosen_tmdb=1297842 | path=deduped_into_tmdb
- key=stolen girl | status=merged | reason=deduped_into_tmdb | rep_title= | rows=233 | parsed_year= | candidates=0 | chosen_tmdb=1280450 | path=deduped_into_tmdb
- key=bohemian rhapsody | status=merged | reason=deduped_into_tmdb | rep_title= | rows=11 | parsed_year= | candidates=0 | chosen_tmdb=424694 | path=deduped_into_tmdb
- key=leave one day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=21 | parsed_year= | candidates=0 | chosen_tmdb=1277884 | path=deduped_into_tmdb
- key=haute couture | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=719463 | path=deduped_into_tmdb
- key=david | status=merged | reason=deduped_into_tmdb | rep_title= | rows=48 | parsed_year= | candidates=0 | chosen_tmdb=1167307 | path=deduped_into_tmdb
- key=late shift | status=merged | reason=deduped_into_tmdb | rep_title= | rows=65 | parsed_year= | candidates=0 | chosen_tmdb=1356670 | path=deduped_into_tmdb
- key=how to train your dragon the hidden world | status=merged | reason=deduped_into_tmdb | rep_title= | rows=32 | parsed_year= | candidates=0 | chosen_tmdb=166428 | path=deduped_into_tmdb
- key=great lillian hall | status=merged | reason=deduped_into_tmdb | rep_title= | rows=43 | parsed_year= | candidates=0 | chosen_tmdb=800513 | path=deduped_into_tmdb
- key=no signal | status=merged | reason=deduped_into_tmdb | rep_title= | rows=21 | parsed_year= | candidates=0 | chosen_tmdb=1284787 | path=deduped_into_tmdb
- key=choral | status=merged | reason=deduped_into_tmdb | rep_title= | rows=203 | parsed_year= | candidates=0 | chosen_tmdb=1262815 | path=deduped_into_tmdb
- key=spiked | status=merged | reason=deduped_into_tmdb | rep_title= | rows=79 | parsed_year= | candidates=0 | chosen_tmdb=1470334 | path=deduped_into_tmdb
- key=hokum | status=merged | reason=deduped_into_tmdb | rep_title= | rows=180 | parsed_year= | candidates=0 | chosen_tmdb=1430077 | path=deduped_into_tmdb
- key=american hina | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1683714 | path=deduped_into_tmdb
- key=slumdog millionaire | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=12405 | path=deduped_into_tmdb
- key=7 scream | status=merged | reason=deduped_into_tmdb | rep_title= | rows=10 | parsed_year= | candidates=0 | chosen_tmdb=1159559 | path=deduped_into_tmdb
- key=grease | status=merged | reason=deduped_into_tmdb | rep_title= | rows=10 | parsed_year= | candidates=0 | chosen_tmdb=621 | path=deduped_into_tmdb
- key=freuds last session | status=merged | reason=deduped_into_tmdb | rep_title= | rows=13 | parsed_year= | candidates=0 | chosen_tmdb=1025491 | path=deduped_into_tmdb
- key=night of the hunted | status=merged | reason=deduped_into_tmdb | rep_title= | rows=10 | parsed_year= | candidates=0 | chosen_tmdb=1160003 | path=deduped_into_tmdb
- key=substance | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=933260 | path=deduped_into_tmdb
