- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 505
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-27T01:43:40.080147+00:00
Finished (UTC): 2026-06-27T01:49:35.378606+00:00
Duration Seconds: 355.2985
Generated At (UTC): 2026-06-27T01:49:35.378820+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 89
- merged: 67

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 67
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 9
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 52
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=animal farm | status=merged | reason=deduped_into_tmdb | rep_title= | rows=39 | parsed_year= | candidates=0 | chosen_tmdb=539745 | path=deduped_into_tmdb
- key=bambi the reckoning | status=merged | reason=deduped_into_tmdb | rep_title= | rows=58 | parsed_year= | candidates=0 | chosen_tmdb=1049942 | path=deduped_into_tmdb
- key=super mario galaxy | status=merged | reason=deduped_into_tmdb | rep_title= | rows=130 | parsed_year= | candidates=0 | chosen_tmdb=1226863 | path=deduped_into_tmdb
- key=disclosure day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=230 | parsed_year= | candidates=0 | chosen_tmdb=1275779 | path=deduped_into_tmdb
- key=black box | status=merged | reason=deduped_into_tmdb | rep_title= | rows=237 | parsed_year= | candidates=0 | chosen_tmdb=1321008 | path=deduped_into_tmdb
- key=great lillian hall | status=merged | reason=deduped_into_tmdb | rep_title= | rows=37 | parsed_year= | candidates=0 | chosen_tmdb=800513 | path=deduped_into_tmdb
- key=michael | status=merged | reason=deduped_into_tmdb | rep_title= | rows=197 | parsed_year= | candidates=0 | chosen_tmdb=936075 | path=deduped_into_tmdb
- key=hoppers | status=merged | reason=deduped_into_tmdb | rep_title= | rows=42 | parsed_year= | candidates=0 | chosen_tmdb=1327819 | path=deduped_into_tmdb
- key=for the love of a woman | status=merged | reason=deduped_into_tmdb | rep_title= | rows=85 | parsed_year= | candidates=0 | chosen_tmdb=1143204 | path=deduped_into_tmdb
- key=backrooms | status=merged | reason=deduped_into_tmdb | rep_title= | rows=67 | parsed_year= | candidates=0 | chosen_tmdb=1083381 | path=deduped_into_tmdb
