- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 625
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-16T15:48:24.954376+00:00
Finished (UTC): 2026-09-16T15:56:53.460693+00:00
Duration Seconds: 508.5063
Generated At (UTC): 2026-09-16T15:56:53.460858+00:00

SUMMARY COUNTS
- dropped: 20
- mapped: 158
- merged: 137

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 137
- group_filter|dropped|skip_token: 5
- tmdb_choice|mapped|alias_remap: 1
- tmdb_choice|mapped|fallback_first_candidate: 26
- tmdb_choice|mapped|runtime_match: 8
- tmdb_choice|mapped|title_first_match: 93
- tmdb_choice|mapped|tmdb_fix_id_match: 9
- tmdb_choice|mapped|tmdb_fix_override: 13
- tmdb_search|dropped|no_candidates: 15
- write|mapped|marked_added: 3
- write|mapped|upserted: 5

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=forrest gump | status=mapped | reason=title_first_match | rep_title=forrest gump | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=13 | path=title_first_match
- key=10 | status=mapped | reason=fallback_first_candidate | rep_title=10 | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=333371 | path=fallback_first_candidate
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=687163 | path=title_first_match
- key=three men and vilma | status=mapped | reason=fallback_first_candidate | rep_title=three men and vilma | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1340922 | path=fallback_first_candidate
- key=mamma mia | status=mapped | reason=title_first_match | rep_title=mamma mia | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=11631 | path=title_first_match
- key=hollywood to broadway | status=mapped | reason=fallback_first_candidate | rep_title=hollywood to broadway | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=95554 | path=fallback_first_candidate
- key=devil wears prada | status=mapped | reason=tmdb_fix_id_match | rep_title=the devil wears prada | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=1314481 | path=tmdb_fix_id_match
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1228710 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
